"","common_name1","id","nutrient","food_desc","food_group","notes","ph_ranking","trace","units","value","genus","common_name2","scientific_name1","scientific_name2","family","order","class","phylum","kingdom","algae_type","raw","dried"
"1","arame","09006","Calcium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",790,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"2","arame","09006","Calcium","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"mg",790,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"3","arame","09006","Vitamin A","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",220,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"4","arame","09006","Vitamin A","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","High",FALSE,"µg",220,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"5","arame","09006","Isoleucine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",430,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"6","arame","09006","Isoleucine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",430,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"7","arame","09006","Protein","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"g",9.9,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"8","arame","09006","Protein","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017","Medium",FALSE,"g",9.9,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"9","arame","09006","Valine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",590,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"10","arame","09006","Valine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",590,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"11","arame","09006","Phenylalanine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",480,"eisenia",NA,"Eisenia bicyclis",NA,"lessoniaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
"12","arame","09006","Phenylalanine","Algae, ""Arame"", steamed and dried","Algae","Estimation from 09017",NA,FALSE,"mg",480,"eisenia",NA,"Eisenia bicyclis",NA,"alariaceae","laminariales","phaeophyceae","ochrophyta","chromista","brown",FALSE,TRUE
