"","sciname","kingdom","phylum","class","order","family","genus","common_name","food_desc","food_group","refuse","yield","notes","acetic acid","alanine","alpha carotene","alpha tocopherol","amino acids total","amino acids total aromatic","amino acids total sulphur containing","ammonia","ammonia derived from non proteinous compounds","arginine","ascorbic acid","ash","aspartic acid","beta carotene","beta carotene equivalents","beta cryptoxanthin","beta tocopherol","biotin","calcium","carbohydrate available expressed in mono saccharide equivalents","carbohydrate total calculated by difference","cholesterol","chromium","cooking oil","copper","cystine","delta tocopherol","dietary fiber total","energy kcal","energy kj","fatty acid 10 0","fatty acid 10 1","fatty acid 12 0","fatty acid 14 0","fatty acid 14 1","fatty acid 15 0","fatty acid 15 0 anteiso acid","fatty acid 15 1","fatty acid 16 0","fatty acid 16 1","fatty acid 16 2","fatty acid 16 3","fatty acid 16 4","fatty acid 17 0","fatty acid 17 1","fatty acid 18 0","fatty acid 18 1 n 7 cis","fatty acid 18 1 n 9 cis","fatty acid 18 1 undifferentiated","fatty acid 18 2 n 6","fatty acid 18 3 n 3","fatty acid 18 3 n 6","fatty acid 18 4 n 3","fatty acid 20 0","fatty acid 20 1","fatty acid 20 2 n 6","fatty acid 20 3 n 6","fatty acid 20 4 n 3","fatty acid 20 4 n 6","fatty acid 20 5 n 3","fatty acid 21 5 n 3","fatty acid 22 0","fatty acid 22 1","fatty acid 22 2","fatty acid 22 4 n 6","fatty acid 22 5 n 3","fatty acid 22 5 n 6","fatty acid 22 6 n 3","fatty acid 24 0","fatty acid 24 1","fatty acid 4 0","fatty acid 6 0","fatty acid 7 0","fatty acid 8 0","fatty acid mono unsaturated","fatty acid poly unsaturated","fatty acid saturated","fatty acid triacyl glycerol equivalents","fatty acid unidentified","fatty acids total","fatty acids total mono unsaturated","fatty acids total n 3 poly unsaturated","fatty acids total n 6 poly unsaturated","fatty acids total poly unsaturated","fatty acids total saturated","folate","gamma tocopherol","glutamic acid","glycine","histidine","iodine","iron","isoleucine","leucine","lipid y","lysine","magnesium","manganese","methionine","molybdenum","na","niacin","organic acids total","pantothenic acid","phenylalanine","phosphorus","potassium","proline","protein","protein calculated as the sum of amino acid residues","protein calculated from reference nitrogen","protein the sum of amino acid residues","remarks x","retinol","retinol activity equivalents","riboflavin","salt equivalents","selenium","serine","sodium","thiamin","threonine","triacyl glycerol equivalents","tryptophan","tyrosine","valine","vitamin b 12","vitamin b 6","vitamin d","vitamin k","water","zinc"
"1","Eisenia bicyclis","chromista","ochrophyta","phaeophyceae","laminariales","lessoniaceae","eisenia","arame","Algae, ""Arame"", steamed and dried",9,"0","-","Estimation from 09017",NA,"880","0","0.6","12000","720","480",NA,NA,"400","0","14.0","1500","2700","2700","33","0",NA,"790",NA,"56.2","0",NA,NA,"0.17","270","0","48.0","140","586",NA,NA,NA,"1",NA,"Tr",NA,NA,"94","10",NA,NA,NA,NA,NA,"3",NA,NA,"12","7","1",NA,"1","1","12","4","8","3","19","220",NA,NA,"3",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"0.04","0.26","0.10","0.4",NA,"0.40","0.04","0.23","0.04","0.26","0.10","110","0","2600","610","210",NA,"3.5","430","780","0.7","550","530","0.23","210",NA,"Energy: tentative value","2.2999999999999998",NA,"0.28000000000000003","480","250","3200","640","12.4","9.9","12.4","9.9","Estimation from 09017","0","220","0.26","5.8",NA,"480","2300","0.10","530","0.4","140","240","590","0.1","0.02","0","260","16.7","1.1000000000000001"
"2","Eisenia bicyclis","chromista","ochrophyta","phaeophyceae","laminariales","alariaceae","eisenia","arame","Algae, ""Arame"", steamed and dried",9,"0","-","Estimation from 09017",NA,"880","0","0.6","12000","720","480",NA,NA,"400","0","14.0","1500","2700","2700","33","0",NA,"790",NA,"56.2","0",NA,NA,"0.17","270","0","48.0","140","586",NA,NA,NA,"1",NA,"Tr",NA,NA,"94","10",NA,NA,NA,NA,NA,"3",NA,NA,"12","7","1",NA,"1","1","12","4","8","3","19","220",NA,NA,"3",NA,NA,"1",NA,NA,NA,"1",NA,NA,NA,NA,"0.04","0.26","0.10","0.4",NA,"0.40","0.04","0.23","0.04","0.26","0.10","110","0","2600","610","210",NA,"3.5","430","780","0.7","550","530","0.23","210",NA,"Energy: tentative value","2.2999999999999998",NA,"0.28000000000000003","480","250","3200","640","12.4","9.9","12.4","9.9","Estimation from 09017","0","220","0.26","5.8",NA,"480","2300","0.10","530","0.4","140","240","590","0.1","0.02","0","260","16.7","1.1000000000000001"
"3","Caulerpa lentillifera","plantae","chlorophyta","bryopsidophyceae","bryopsidales","caulerpaceae","caulerpa","green caviar","Algae, Green caviar, raw",9,"0","-",NA,NA,NA,"98","0.2",NA,NA,NA,NA,NA,NA,"Tr","1.2",NA,"74","120",NA,"0","0.1","34",NA,"1.2","0","Tr",NA,"0.01",NA,"0","0.8","4","17","0","0","0","2","Tr","0",NA,"0","15","2","0","5","0","0","Tr","Tr",NA,NA,"2","4","7","Tr","Tr","0","Tr","Tr","Tr","Tr","1","1","0","0","0","0","0","Tr","0","Tr","1","0",NA,NA,NA,NA,"Tr","0.02","0.02","Tr",NA,"0.04","Tr","0.01","0.01","0.02","0.02","4","0",NA,NA,NA,"80","0.8",NA,NA,"0.1",NA,"51","0.08",NA,"Tr","Energy: tentative value","Tr",NA,"0",NA,"10","39",NA,NA,NA,"0.5",NA,NA,"0","10","0.01","0.8","0",NA,"330","Tr",NA,"Tr",NA,NA,NA,"0","0","0","35","97.0","Tr"
"4","Caulerpa lentillifera","plantae","chlorophyta","ulvophyceae","bryopsidales","caulerpaceae","caulerpa","green caviar","Algae, Green caviar, raw",9,"0","-",NA,NA,NA,"98","0.2",NA,NA,NA,NA,NA,NA,"Tr","1.2",NA,"74","120",NA,"0","0.1","34",NA,"1.2","0","Tr",NA,"0.01",NA,"0","0.8","4","17","0","0","0","2","Tr","0",NA,"0","15","2","0","5","0","0","Tr","Tr",NA,NA,"2","4","7","Tr","Tr","0","Tr","Tr","Tr","Tr","1","1","0","0","0","0","0","Tr","0","Tr","1","0",NA,NA,NA,NA,"Tr","0.02","0.02","Tr",NA,"0.04","Tr","0.01","0.01","0.02","0.02","4","0",NA,NA,NA,"80","0.8",NA,NA,"0.1",NA,"51","0.08",NA,"Tr","Energy: tentative value","Tr",NA,"0",NA,"10","39",NA,NA,NA,"0.5",NA,NA,"0","10","0.01","0.8","0",NA,"330","Tr",NA,"Tr",NA,NA,NA,"0","0","0","35","97.0","Tr"
"5","Enteromorpha spp.","plantae","chlorophyta","ulvophyceae","ulvales","ulvaceae","enteromorpha","green laver","Algae, green laver, dried",9,"0","-",NA,NA,"2000","2200","2.5","24000","2000","1000","670",NA,"1400","62","17.8","3400","20000","21000","81","0","71.0","750","0.2","41.0","Tr","39",NA,"0.57999999999999996","440","0","35.200000000000003","164","688","0","0","0","16","53","5",NA,"0","880","120","2","0","0","2","77","28","230","13","240","130","780","0","470","3","5","4","15","37","20","30","0","37","4","0","22","140","0","0","4","0",NA,NA,NA,NA,"0.50","1.65","0.97","3.3",NA,"3.13","0.50","1.46","0.19","1.65","0.97","270","0","3100","1500","470","2700","77.0","950","1800","5.2","1200","1400","13.00","580","18","Energy: tentative value","6.3",NA,"0.56999999999999995","1300","390","2500","1300","29.4","21.0","29.4","21.0",NA,"0","1700","1.66","8.1","7","1300","3200","0.92","1300","3.3","430","710","1400","32.1","0.50","0","3","6.5","1.6"
"6","Sargassum fusiforme","chromista","ochrophyta","phaeophyceae","fucales","sargassaceae","sargassum","hijiki","Algae, ""Hijiki"", boiled and dried, stainless steel pot process, raw",9,"0","-","Dried after boiling-well",NA,"630","2","5.0","8500","730","350","170",NA,"420","0","22.7","980","4400","4400","18","0","17.399999999999999","1000","0.4","58.4","Tr","26",NA,"0.14000000000000001","120","0","51.8","149","625",NA,NA,NA,"72",NA,"8",NA,NA,"480","98",NA,NA,NA,"7","7","18",NA,NA,"170","82","130",NA,"71","10","40",NA,"7","15","220","110",NA,NA,"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.37","0.63","0.59","1.7","19","1.61","0.37","0.33","0.31","0.63","0.59","93","0.4","1200","500","160","45000","6.2","430","740","3.2","310","640","0.82","230","17","Dried after boiling-well
Energy: tentative value","1.8",NA,"0.30","480","93","6400","400","9.1999999999999993","7.2","9.1999999999999993","7.2","Dried after boiling-well","0","360","0.42","4.7","7","420","1800","0.09","460","1.7","160","240","540","0","0","0","580","6.5","1.0"
"7","Sargassum fusiforme","chromista","ochrophyta","phaeophyceae","fucales","sargassaceae","sargassum","hijiki","Algae, ""Hijiki"", boiled and dried, stainless steel pot process, rehydrated and boiled",9,"0","990","Estimation from 09050",NA,"42","0","0.4","590","57","24","9.6",NA,"35","0","0.8","64","330","330","1","0","0.7","96","0","3.4","0","1",NA,"0.01","7.8","0","3.7","10","40",NA,NA,NA,"7",NA,"1",NA,NA,"49","10",NA,NA,NA,"1","1","2",NA,NA,"17","8","13",NA,"7","1","4",NA,"1","2","22","12",NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.04","0.06","0.06","0.2","2","0.16","0.04","0.03","0.03","0.06","0.06","1","Tr","75","36","12","960","0.3","30","54","0.3","23","37","0.06","17","1","Energy: tentative value","0",NA,"0","35","2","160","29","0.7","0.5","0.7","0.5",NA,"0","28","0","0.1","Tr","30","52","Tr","33","0.2","11","22","38","0","0","0","40","94.8","0.1"
"8","Sargassum fusiforme","chromista","ochrophyta","phaeophyceae","fucales","sargassaceae","sargassum","hijiki","Algae, ""Hijiki"", boiled and dried, stainless steel pot process, rehydrated and sautéed",9,"0","870","Including 4.3 g of rapeseed oil.
Estimation from 09051 and amount of adhered rapeseed oil",NA,"48","Tr","1.3","690","66","30","12",NA,"41","0","1.0","75","390","390","2","0","0.9","110","0","4.0999999999999996","0","2","4.3","0.01","9.5","Tr","4.5","51","213","0","0","3","12","0","1","0","0","230","20","0","0","0","1","1","83",NA,NA,"2500","810","340","0","8","26","53","0","1","2","25","13","0","12","13","0","0","0","0","0","6","6","0","0","0","0","2.62","1.19","0.37","4.4",NA,"4.18","2.62","0.36","0.83","1.19","0.37","2","1.8","88","41","14","1300","0.3","35","63","4.7","26","44","0.08","21","1","Energy: tentative value","0",NA,"0","40","3","200","35","0.8","0.6","0.8","0.6",NA,"0","33","Tr","0.2","0","35","64","0.01","38","4.4","13","26","44","0","0","0","43","89.5","0.1"
"9","Sargassum fusiforme","chromista","ochrophyta","phaeophyceae","fucales","sargassaceae","sargassum","hijiki","Algae, ""Hijiki"", boiled and dried, steel pot process, raw",9,"0","-",NA,NA,NA,"2","5.0",NA,NA,NA,NA,NA,NA,"0","25.2",NA,"4400","4400","18","0","17.399999999999999","1000",NA,"56.0","Tr","26",NA,"0.14000000000000001",NA,"0","51.8","145","605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93","0.4",NA,NA,NA,"45000","58.2",NA,NA,NA,NA,"640","0.82",NA,"17","Dried after boiling-well
Energy: tentative value","1.8",NA,"0.30",NA,"93","6400",NA,NA,NA,"9.1999999999999993",NA,NA,"0","360","0.42","4.7","7",NA,"1800","0.09",NA,NA,NA,NA,NA,"0","0","0","580","6.5","1.0"
"10","Sargassum fusiforme","chromista","ochrophyta","phaeophyceae","fucales","sargassaceae","sargassum","hijiki","Algae, ""Hijiki"", boiled and dried, steel pot process, rehydrated and boiled",9,"0","990",NA,NA,NA,"0","0.4",NA,NA,NA,NA,NA,NA,"0","0.8",NA,"330","330","1","0","0.7","96",NA,"3.4","0","1",NA,"0.01",NA,"0","3.7","10","40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Tr",NA,NA,NA,"960","2.7",NA,NA,NA,NA,"37","0.06",NA,"1","Energy: tentative value","0",NA,"0",NA,"2","160",NA,NA,NA,"0.7",NA,NA,"0","28","0","0.1","Tr",NA,"52","Tr",NA,NA,NA,NA,NA,"0","0","0","40","94.8","0.1"
