"","genus","common_name1","nutrient","id.x","food_desc","food_group","refuse","notes","value","units.x","trace","units.y","units","id.y","common_name2","scientific_name1","scientific_name2","family","order","class","phylum","kingdom","algae_type"
"1","analipus","matsumo","phosphorus","09035","Algae, ""Matsumo"", dried","Algae","0",NA,530,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"2","analipus","matsumo","ash","09035","Algae, ""Matsumo"", dried","Algae","0",NA,13.8,"g/100 g",FALSE,"g/100 g","g/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"3","analipus","matsumo","calcium","09035","Algae, ""Matsumo"", dried","Algae","0",NA,920,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"4","analipus","matsumo","vitamin b 6","09035","Algae, ""Matsumo"", dried","Algae","0",NA,0.06,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"5","analipus","matsumo","beta carotene","09035","Algae, ""Matsumo"", dried","Algae","0",NA,30000,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"6","analipus","matsumo","copper","09035","Algae, ""Matsumo"", dried","Algae","0",NA,0.26,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"7","analipus","matsumo","cholesterol","09035","Algae, ""Matsumo"", dried","Algae","0",NA,1,"mg/100 ｇ",FALSE,"mg/100 ｇ","mg/100 ｇ","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"8","analipus","matsumo","water","09035","Algae, ""Matsumo"", dried","Algae","0",NA,12.6,"g/100 g",FALSE,"g/100 g","g/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"9","analipus","matsumo","delta tocopherol","09035","Algae, ""Matsumo"", dried","Algae","0",NA,3.1,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"10","analipus","matsumo","niacin","09035","Algae, ""Matsumo"", dried","Algae","0",NA,5,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"11","analipus","matsumo","retinol","09035","Algae, ""Matsumo"", dried","Algae","0",NA,0,"µg/100 g",FALSE,"µg/100 g","µg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"12","analipus","matsumo","beta tocopherol","09035","Algae, ""Matsumo"", dried","Algae","0",NA,0.2,"mg/100 g",FALSE,"mg/100 g","mg/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
"13","analipus","matsumo","salt equivalents","09035","Algae, ""Matsumo"", dried","Algae","0",NA,3.3,"g/100 g",FALSE,"g/100 g","g/100 g","09035",NA,"Analipus japonicus",NA,"scytosiphonaceae","scytosiphonales","phaeophyceae","ochrophyta","chromista","brown"
