"","nutrient"
"1","pantothenic acid"
"2","beta cryptoxanthin"
"3","vitamin b 12"
"4","retinol"
"5","vitamin d"
"6","protein calculated from reference nitrogen"
"7","beta carotene equivalents"
"8","dietary fiber total"
"9","iron"
"10","vitamin b 6"
"11","delta tocopherol"
"12","sodium"
"13","beta tocopherol"
"14","energy kj"
"15","copper"
"16","energy kcal"
"17","beta carotene"
"18","ash"
"19","salt equivalents"
"20","phosphorus"
"21","calcium"
"22","riboflavin"
"23","retinol activity equivalents"
"24","gamma tocopherol"
"25","zinc"
"26","carbohydrate total calculated by difference"
"27","alpha carotene"
"28","water"
"29","magnesium"
"30","vitamin k"
"31","na"
"32","thiamin"
"33","niacin"
"34","folate"
"35","alpha tocopherol"
"36","ascorbic acid"
"37","cholesterol"
"38","manganese"
"39","potassium"
"81","fatty acid 16 0"
"83","fatty acid saturated"
"87","biotin"
"91","triacyl glycerol equivalents"
"95","fatty acid 18 0"
"99","iodine"
"101","fatty acid mono unsaturated"
"103","fatty acids total mono unsaturated"
"105","fatty acid 20 5 n 3"
"107","fatty acids total"
"109","fatty acid 15 1"
"111","fatty acid 10 0"
"115","fatty acid 18 4 n 3"
"119","selenium"
"121","fatty acid 20 4 n 6"
"125","fatty acid poly unsaturated"
"127","fatty acid 18 3 n 3"
"129","fatty acid 16 4"
"135","fatty acids total n 3 poly unsaturated"
"139","fatty acid 16 3"
"147","lipid y"
"149","fatty acid 20 0"
"151","fatty acid 14 1"
"155","fatty acid 12 0"
"159","fatty acid 20 1"
"161","fatty acid 24 0"
"163","fatty acids total poly unsaturated"
"173","fatty acids total n 6 poly unsaturated"
"179","fatty acid 14 0"
"181","fatty acid 17 0"
"183","fatty acid 22 4 n 6"
"187","fatty acid 18 1 undifferentiated"
"189","molybdenum"
"195","fatty acid 22 2"
"197","fatty acid 15 0"
"203","fatty acid 22 6 n 3"
"207","fatty acid 20 2 n 6"
"209","fatty acid 21 5 n 3"
"211","chromium"
"215","fatty acids total saturated"
"217","fatty acid 17 1"
"219","fatty acid 16 2"
"221","fatty acid 18 2 n 6"
"223","fatty acid 22 5 n 3"
"225","fatty acid 20 3 n 6"
"231","fatty acid 24 1"
"237","fatty acid 10 1"
"239","fatty acid 22 0"
"241","fatty acid 18 3 n 6"
"243","fatty acid 22 5 n 6"
"251","fatty acid triacyl glycerol equivalents"
"253","fatty acid 20 4 n 3"
"255","fatty acid 16 1"
"259","fatty acid 22 1"
"263","protein calculated as the sum of amino acid residues"
"265","aspartic acid"
"266","cystine"
"267","isoleucine"
"272","tryptophan"
"276","carbohydrate available expressed in mono saccharide equivalents"
"289","tyrosine"
"293","arginine"
"299","amino acids total"
"305","amino acids total aromatic"
"307","histidine"
"310","phenylalanine"
"312","threonine"
"320","amino acids total sulphur containing"
"324","glutamic acid"
"325","valine"
"337","serine"
"341","methionine"
"342","alanine"
"348","fatty acid 18 1 n 7 cis"
"354","protein"
"355","lysine"
"359","protein the sum of amino acid residues"
"368","ammonia"
"372","fatty acid 18 1 n 9 cis"
"374","leucine"
"378","proline"
"383","glycine"
"570","remarks x"
"700","fatty acid 8 0"
"704","fatty acid 6 0"
"709","ammonia derived from non proteinous compounds"
"712","fatty acid 4 0"
"1192","organic acids total"
"1504","acetic acid"
"1802","fatty acid unidentified"
