"","nutrient","nutrient_type","units","dri_type","footnote","summary_type","value"
"1","Calcium","Element","mg","RDA","","min_ref",700
"2","Calcium","Element","mg","AI","*","min_ref",200
"3","Calcium","Element","mg","UL","","min_ref",1000
"4","Calcium","Element","mg","EAR",NA,"min_ref",500
"5","Chloride","Element","g","UL","","min_ref",2.3
"6","Chloride","Element","g","AI","*","min_ref",0.18
"7","Choline","Vitamin","mg","AI","*","min_ref",125
"8","Choline","Vitamin","mg","UL","","min_ref",1000
"9","Chromium","Element","µg","AI","*","min_ref",0.2
"10","Copper","Element","µg","EAR",NA,"min_ref",260
"11","Copper","Element","µg","UL","","min_ref",1000
"12","Copper","Element","µg","AI","*","min_ref",200
"13","Copper","Element","µg","RDA","","min_ref",340
"14","Folate (vitamin B9)","Vitamin","µg","RDA","","min_ref",150
"15","Folate (vitamin B9)","Vitamin","µg","AI","*","min_ref",65
"16","Folate (vitamin B9)","Vitamin","µg","UL","","min_ref",300
"17","Folate (vitamin B9)","Vitamin","µg","EAR",NA,"min_ref",120
"18","Iodine","Element","µg","AI","*","min_ref",110
"19","Iodine","Element","µg","EAR",NA,"min_ref",65
"20","Iodine","Element","µg","RDA","","min_ref",90
"21","Iodine","Element","µg","UL","","min_ref",200
"22","Iron","Element","mg","AI","*","min_ref",0.27
"23","Iron","Element","mg","UL","","min_ref",40
"24","Iron","Element","mg","RDA","","min_ref",7
"25","Iron","Element","mg","EAR",NA,"min_ref",3
"26","Linoleic acid","Macronutrient","g","AI","*","min_ref",4.4
"27","Magnesium","Element","mg","EAR",NA,"min_ref",65
"28","Magnesium","Element","mg","UL","","min_ref",65
"29","Magnesium","Element","mg","RDA","","min_ref",80
"30","Magnesium","Element","mg","AI","*","min_ref",30
"31","Niacin","Vitamin","mg","UL","","min_ref",10
"32","Niacin","Vitamin","mg","AI","*","min_ref",2
"33","Niacin","Vitamin","mg","RDA","","min_ref",6
"34","Niacin","Vitamin","mg","EAR",NA,"min_ref",5
"35","Phosphorus","Element","mg","AI","*","min_ref",100
"36","Phosphorus","Element","mg","UL","","min_ref",3000
"37","Phosphorus","Element","mg","RDA","","min_ref",460
"38","Phosphorus","Element","mg","EAR",NA,"min_ref",380
"39","Potassium","Element","g","AI","*","min_ref",0.4
"40","Protein","Macronutrient","g/kg","EAR",NA,"min_ref",0.66
"41","Protein","Macronutrient","g","RDA","","min_ref",11
"42","Protein","Macronutrient","g","AI","*","min_ref",9.1
"43","Riboflavin","Vitamin","mg","RDA","","min_ref",0.5
"44","Riboflavin","Vitamin","mg","AI","*","min_ref",0.3
"45","Riboflavin","Vitamin","mg","EAR",NA,"min_ref",0.4
"46","Selenium","Element","µg","RDA","","min_ref",20
"47","Selenium","Element","µg","AI","*","min_ref",15
"48","Selenium","Element","µg","UL","","min_ref",45
"49","Selenium","Element","µg","EAR",NA,"min_ref",17
"50","Sodium","Element","g","UL","","min_ref",1.5
"51","Sodium","Element","g","AI","*","min_ref",0.12
"52","Vitamin B1","Vitamin","mg","RDA","","min_ref",0.5
"53","Vitamin B1","Vitamin","mg","AI","*","min_ref",0.2
"54","Vitamin B1","Vitamin","mg","EAR",NA,"min_ref",0.4
"55","Dietary fiber (total)","Macronutrient","g","AI","*","min_ref",19
"56","Vitamin A","Vitamin","µg","UL","","min_ref",600
"57","Vitamin A","Vitamin","µg","EAR",NA,"min_ref",210
"58","Vitamin A","Vitamin","µg","AI","*","min_ref",400
"59","Vitamin A","Vitamin","µg","RDA","","min_ref",300
"60","Vitamin B12","Vitamin","µg","EAR",NA,"min_ref",0.7
"61","Vitamin B12","Vitamin","µg","AI","*","min_ref",0.4
"62","Vitamin B12","Vitamin","µg","RDA","","min_ref",0.9
"63","Vitamin B6","Vitamin","mg","RDA","","min_ref",0.5
"64","Vitamin B6","Vitamin","mg","UL","","min_ref",30
"65","Vitamin B6","Vitamin","mg","AI","*","min_ref",0.1
"66","Vitamin B6","Vitamin","mg","EAR",NA,"min_ref",0.4
"67","Vitamin C","Vitamin","mg","UL","","min_ref",400
"68","Vitamin C","Vitamin","mg","AI","*","min_ref",40
"69","Vitamin C","Vitamin","mg","RDA","","min_ref",15
"70","Vitamin C","Vitamin","mg","EAR",NA,"min_ref",13
"71","Vitamin D","Vitamin","µg","EAR",NA,"min_ref",10
"72","Vitamin D","Vitamin","µg","UL","","min_ref",25
"73","Vitamin D","Vitamin","µg","RDA","","min_ref",10
"74","Vitamin E","Vitamin","mg","EAR",NA,"min_ref",5
"75","Vitamin E","Vitamin","mg","UL","","min_ref",200
"76","Vitamin E","Vitamin","mg","AI","*","min_ref",4
"77","Vitamin E","Vitamin","mg","RDA","","min_ref",6
"78","Vitamin K","Vitamin","µg","AI","*","min_ref",2
"79","Zinc","Element","mg","AI","*","min_ref",2
"80","Zinc","Element","mg","EAR",NA,"min_ref",2.5
"81","Zinc","Element","mg","RDA","","min_ref",3
"82","Zinc","Element","mg","UL","","min_ref",4
"83","Calcium","Element","mg","UL","","max_ref",3000
"84","Calcium","Element","mg","AI","*","max_ref",260
"85","Calcium","Element","mg","EAR",NA,"max_ref",1100
"86","Calcium","Element","mg","RDA","","max_ref",1300
"87","Chloride","Element","g","AI","*","max_ref",2.3
"88","Chloride","Element","g","UL","","max_ref",3.6
"89","Choline","Vitamin","mg","AI","*","max_ref",550
"90","Choline","Vitamin","mg","UL","","max_ref",3500
"91","Chromium","Element","µg","AI","*","max_ref",45
"92","Copper","Element","µg","UL","","max_ref",10000
"93","Copper","Element","µg","RDA","","max_ref",1300
"94","Copper","Element","µg","EAR",NA,"max_ref",1000
"95","Copper","Element","µg","AI","*","max_ref",220
"96","Folate (vitamin B9)","Vitamin","µg","RDA","j","max_ref",600
"97","Folate (vitamin B9)","Vitamin","µg","UL","","max_ref",1000
"98","Folate (vitamin B9)","Vitamin","µg","EAR",NA,"max_ref",520
"99","Folate (vitamin B9)","Vitamin","µg","AI","*","max_ref",80
"100","Iodine","Element","µg","RDA","","max_ref",290
"101","Iodine","Element","µg","UL","","max_ref",1100
"102","Iodine","Element","µg","AI","*","max_ref",130
"103","Iodine","Element","µg","EAR",NA,"max_ref",209
"104","Iron","Element","mg","AI","*","max_ref",0.27
"105","Iron","Element","mg","UL","","max_ref",45
"106","Iron","Element","mg","EAR",NA,"max_ref",23
"107","Iron","Element","mg","RDA","","max_ref",27
"108","Linoleic acid","Macronutrient","g","AI","*","max_ref",17
